Z1,Z2,Z3,Z4,Z5
1.0198857,-0.39206332,-0.7201012,-0.88398707,-0.108142145
1.4941638,-0.19509295,-1.0153629,-1.233337,-0.11383752
9.3509445,1.606665,1.1517239,14.488786,-1.6241748
1.018149,-0.3907519,-0.7191694,-0.8821695,-0.104030274
1.4941638,-0.19509295,-1.0153629,-1.233337,-0.11383752
1.3050828,3.0475085,5.176632,19.010792,4.2390084
-5.662057,3.222076,0.1765787,4.4702454,-2.9541824
22.753664,17.389975,6.6814733,1.8163221,14.562195
-0.52018243,0.20775181,0.2758747,0.905597,-0.8976061
1.4837445,-0.19387263,-1.0071626,-1.2215683,-0.112654544
-5.2717576,2.5868857,2.824495,5.44159,1.0398935
-4.051866,1.7198656,0.79968596,4.4460073,-0.2638052
0.35335663,-0.06629132,-0.38318184,-0.31287202,0.16748348
-9.445435,4.154779,3.4347873,8.7417555,-0.4678038
1.4448502,-0.20263809,-1.0234541,-1.2186128,-0.16397104
30.877506,-25.011883,-40.223484,37.31668,-65.352455
1.4941638,-0.19509295,-1.0153629,-1.233337,-0.11383752
-14.194672,15.450284,-6.5047917,0.91225016,-22.3995
0.47900566,-0.6200101,-0.78986275,-1.1679162,-0.34655568
-3.5407152,1.6356963,1.8873024,-0.9258127,-2.7142332
1.4966893,-0.09804225,-1.2794071,-1.1037482,-0.018933333
1.1335926,0.019894656,-0.6915213,-0.73470765,0.26798528
9.021355,8.643441,4.703448,20.227259,-2.2936635
1.4829569,-0.21572,-1.0261129,-1.237226,-0.12972361
1.4941638,-0.19509295,-1.0153629,-1.233337,-0.11383752
1.4941638,-0.19509295,-1.0153629,-1.233337,-0.11383752
-77.100075,-14.407792,26.774038,27.4609,-48.75865
1.4941638,-0.19509295,-1.0153629,-1.233337,-0.11383752
-0.67136264,1.8935235,0.8348489,5.318858,5.427051
1.4941638,-0.19509295,-1.0153629,-1.233337,-0.11383752
-5.640137,4.1484313,2.5937345,2.9555662,-1.5699583
1.4941636,-0.19509318,-1.0153629,-1.233337,-0.11383722
1.4941638,-0.19509295,-1.0153629,-1.233337,-0.11383752
1.4941638,-0.19509295,-1.0153629,-1.233337,-0.11383752
1.4941638,-0.19509295,-1.0153629,-1.233337,-0.11383752
1.4102665,-0.2644627,-1.0073438,-1.1158863,-0.09575478
1.4941638,-0.19509295,-1.0153629,-1.233337,-0.11383752
-5.034632,2.663143,1.5775093,3.3802986,-1.3854707
1.4941638,-0.19509295,-1.0153629,-1.233337,-0.11383752
-7.4250026,3.0096045,4.7068553,7.5773354,2.298465
-9.954216,4.158584,7.2441792,10.499426,1.252119
1.4941638,-0.19509295,-1.0153629,-1.233337,-0.11383752
13.161003,-4.775276,8.323572,19.552917,-5.742358
1.4941638,-0.19509295,-1.0153629,-1.233337,-0.11383752
1.4941638,-0.19509295,-1.0153629,-1.233337,-0.11383752
1.4941638,-0.19509295,-1.0153629,-1.233337,-0.11383752
1.4941638,-0.19509295,-1.0153629,-1.233337,-0.11383752
1.4941638,-0.19509295,-1.0153629,-1.233337,-0.11383752
1.4941638,-0.19509295,-1.0153629,-1.233337,-0.11383752
1.4941638,-0.19509295,-1.0153629,-1.233337,-0.11383752
1.4703497,-0.20265129,-1.0249327,-1.2008983,-0.14676127
1.4941638,-0.19509295,-1.0153629,-1.233337,-0.11383752
1.4941638,-0.19509295,-1.0153629,-1.233337,-0.11383752
1.4941638,-0.19509295,-1.0153629,-1.233337,-0.11383752
1.4941638,-0.19509295,-1.0153629,-1.233337,-0.11383752
1.4941638,-0.19509295,-1.0153629,-1.233337,-0.11383752
7.3536,6.3357167,3.5913076,15.7064,-1.8361635
-17.589355,1.5627735,23.309269,37.845802,-11.299578
-13.931956,8.135388,4.840595,12.767853,-2.4592862
-3.6013303,-1.2462761,4.8139987,13.317266,-3.5628812
1.4941638,-0.19509295,-1.0153629,-1.233337,-0.11383752
1.4941638,-0.19509295,-1.0153629,-1.233337,-0.11383752
1.6980425,-0.26973814,-0.90942055,-1.0862254,-0.20037651
1.4941636,-0.19509318,-1.0153629,-1.233337,-0.11383722
1.4941638,-0.19509295,-1.0153629,-1.233337,-0.11383752
-13.58426,1.702908,20.301344,31.900145,-13.833995
1.4941638,-0.19509295,-1.0153629,-1.233337,-0.11383752
1.4941638,-0.19509295,-1.0153629,-1.233337,-0.11383752
1.4941638,-0.19509295,-1.0153629,-1.233337,-0.11383752
1.4941638,-0.19509295,-1.0153629,-1.233337,-0.11383752
1.4832448,-0.1896719,-1.0084879,-1.1983244,-0.13572222
1.4941638,-0.19509295,-1.0153629,-1.233337,-0.11383752
1.4941638,-0.19509295,-1.0153629,-1.233337,-0.11383752
1.4941638,-0.19509295,-1.0153629,-1.233337,-0.11383752
1.4832448,-0.1896719,-1.0084879,-1.1983244,-0.13572222
1.4941638,-0.19509295,-1.0153629,-1.233337,-0.11383752
0.89788646,-0.0065239705,-0.87637436,-0.726373,0.2551943
1.4801785,-0.2072204,-1.0250419,-1.2109517,-0.14191654
1.4941638,-0.19509295,-1.0153629,-1.233337,-0.11383752
1.4941638,-0.19509295,-1.0153629,-1.233337,-0.11383752
1.4941638,-0.19509295,-1.0153629,-1.233337,-0.11383752
1.4815818,-0.21484104,-1.0265863,-1.2379693,-0.13154605
1.4941471,-0.17718875,-1.0519297,-1.2209207,-0.14473075
11.092751,3.3175888,-11.416782,10.664788,-0.22631553
1.4812592,-0.21119404,-1.0268888,-1.2369862,-0.12937751
-6.6409383,2.4799173,1.8650161,4.822719,-9.611878
1.4816104,-0.19193807,-1.0118822,-1.1837729,-0.14908454
1.4754038,-0.21301213,-1.0206113,-1.223751,-0.13909364
1.4753683,-0.21381852,-1.0196544,-1.2248057,-0.13638139
1.4941638,-0.19509295,-1.0153629,-1.233337,-0.11383752
1.4513608,-0.21991536,-1.0239351,-1.2121614,-0.15848601
1.4941638,-0.19509295,-1.0153629,-1.233337,-0.11383752
1.4941638,-0.19509295,-1.0153629,-1.233337,-0.11383752
1.4941638,-0.19509295,-1.0153629,-1.233337,-0.11383752
1.4941636,-0.19509318,-1.0153629,-1.233337,-0.11383722
-49.329216,-0.055880312,3.529896,-18.392601,-30.682552
1.4941638,-0.19509295,-1.0153629,-1.233337,-0.11383752
1.4941638,-0.19509295,-1.0153629,-1.233337,-0.11383752
1.482437,-0.21528196,-1.0263075,-1.2374623,-0.12989181
1.293933,-0.29680333,-1.1510564,-1.1838402,-0.1851919
1.4832448,-0.1896719,-1.0084879,-1.1983244,-0.13572222
1.465412,-0.20968509,-0.9697695,-1.0569129,-0.080302306
-1.0464257,1.7849993,0.76612806,5.3811355,5.3934956
-2.2622104,2.5667267,1.3984923,7.573951,7.0988016
-2.1363428,2.4298096,1.2361579,7.077991,6.5295706
1.4813149,-0.24173364,-1.0241439,-1.2311156,-0.13490707
1.4809922,-0.21290132,-1.0291469,-1.1994189,-0.16990876
1.4811587,-0.21395266,-1.0278704,-1.1992255,-0.16767359
1.4819111,-0.21590409,-1.0254129,-1.2330363,-0.16014245
6.22171,2.7602084,-1.4139591,5.6277122,-0.8739236
1.4837445,-0.19387263,-1.0071626,-1.2215683,-0.112654544
1.4837445,-0.19387263,-1.0071626,-1.2215683,-0.112654544
0.9824034,-0.124639034,-0.8148042,-0.9680952,0.37671477
1.4816104,-0.19193807,-1.0118822,-1.1837729,-0.14908454
-10.278379,2.9966187,0.07090783,6.193157,-0.7106729
1.4770099,-0.18553197,-0.9961336,-1.1892104,-0.13408309
1.1416863,-0.10374004,-0.8793117,-1.0001372,0.031597547
1.4816104,-0.19193807,-1.0118822,-1.1837729,-0.14908454
1.4816104,-0.19193807,-1.0118822,-1.1837729,-0.14908454
1.4816104,-0.19193807,-1.0118822,-1.1837729,-0.14908454
1.4816104,-0.19193807,-1.0118822,-1.1837729,-0.14908454
1.4829669,-0.21572277,-1.0260885,-1.2372644,-0.1297152
1.48274,-0.21513626,-1.0266027,-1.2373366,-0.1305925
1.4819685,-0.21520647,-1.0257555,-1.2332548,-0.16101265
1.214827,-0.48289192,-1.0480435,-1.4023913,-0.12223021
1.0839156,-0.62371624,-1.0723302,-1.5068626,-0.14826971
1.4828464,-0.21462548,-1.0273818,-1.2374331,-0.13199589
1.4816103,-0.19193795,-1.0118821,-1.1837733,-0.14908457
1.4866973,-0.1818673,-1.0182345,-1.232267,-0.1101521
