Modèle,Dataset,Accuracy,Precision,Recall,F1-score
Random Forest,PCA,0.89,0.9355,0.8365,0.8832
Random Forest,RF-selected,0.8947,0.9362,0.8462,0.8889
Random Forest,AutoEncoder,0.8612,0.8866,0.8269,0.8557
SVM,PCA,0.6507,0.5876,1.0,0.7402
SVM,RF-selected,0.6651,0.6,0.9808,0.7445
SVM,AutoEncoder,0.6364,0.5805,0.9712,0.7266
KNN,PCA,0.8565,0.9111,0.7885,0.8454
KNN,RF-selected,0.8517,0.8925,0.7981,0.8426
KNN,AutoEncoder,0.8373,0.8571,0.8077,0.8317
MLP,full_scaled,0.756,0.9492,0.5385,0.6871
XGBoost,full_scaled,0.89,0.93,0.86,0.89
