bind,CertControlStore,CertOpenStore,closesocket,CoCreateInstance,CoCreateInstanceEx,CoGetClassObject,CoInitializeEx,CoInitializeSecurity,connect,ControlService,CopyFileW,CoUninitialize,CreateActCtxW,CreateDirectoryW,CreateProcessInternalW,CreateRemoteThreadEx,CreateThread,CreateToolhelp32Snapshot,CryptAcquireContextA,CryptAcquireContextW,CryptCreateHash,CryptDecodeObjectEx,CryptDecrypt,CryptEncrypt,CryptExportKey,CryptHashData,DeleteFileW,DeviceIoControl,DrawTextExA,DrawTextExW,EnumWindows,FindFirstFileExW,FindResourceA,FindResourceExA,FindResourceExW,FindResourceW,FindWindowA,FindWindowExA,FindWindowExW,FindWindowW,GetAdaptersAddresses,getaddrinfo,GetAddrInfoW,GetAsyncKeyState,GetBestInterfaceEx,GetComputerNameA,GetComputerNameW,GetCursorPos,GetDiskFreeSpaceExW,GetDiskFreeSpaceW,GetFileAttributesExW,GetFileAttributesW,GetFileInformationByHandle,GetFileInformationByHandleEx,GetFileSize,GetFileSizeEx,GetFileType,GetFileVersionInfoExW,GetFileVersionInfoSizeExW,GetFileVersionInfoSizeW,GetFileVersionInfoW,GetForegroundWindow,GetKeyboardState,GetKeyState,GetNativeSystemInfo,GetShortPathNameW,getsockname,GetSystemDirectoryA,GetSystemDirectoryW,GetSystemInfo,GetSystemMetrics,GetSystemTimeAsFileTime,GetSystemWindowsDirectoryA,GetSystemWindowsDirectoryW,GetTempPathW,GetTimeZoneInformation,GetUserNameA,GetUserNameExW,GetUserNameW,GetVolumeNameForVolumeMountPointW,GetVolumePathNamesForVolumeNameW,GetVolumePathNameW,GlobalMemoryStatus,GlobalMemoryStatusEx,HttpOpenRequestA,HttpQueryInfoA,HttpSendRequestA,HttpSendRequestW,InternetCloseHandle,InternetConnectA,InternetCrackUrlA,InternetCrackUrlW,InternetGetConnectedState,InternetOpenA,InternetQueryOptionA,InternetReadFile,InternetSetOptionA,ioctlsocket,IsDebuggerPresent,IWbemServices_ExecQuery,LdrGetDllHandle,LdrGetProcedureAddress,LdrLoadDll,LdrUnloadDll,LoadResource,LoadStringA,LoadStringW,LookupAccountSidW,LookupPrivilegeValueW,Module32NextW,MoveFileWithProgressW,NetShareEnum,NtAllocateVirtualMemory,NtClose,NtCreateFile,NtCreateKey,NtCreateMutant,NtCreateSection,NtCreateThreadEx,NtDelayExecution,NtDeleteKey,NtDeviceIoControlFile,NtDuplicateObject,NtEnumerateKey,NtEnumerateValueKey,NtFreeVirtualMemory,NtGetContextThread,NtMapViewOfSection,NtOpenDirectoryObject,NtOpenFile,NtOpenKey,NtOpenKeyEx,NtOpenMutant,NtOpenProcess,NtOpenSection,NtOpenThread,NtProtectVirtualMemory,NtQueryAttributesFile,NtQueryDirectoryFile,NtQueryFullAttributesFile,NtQueryInformationFile,NtQueryKey,NtQuerySystemInformation,NtQueryValueKey,NtReadFile,NtReadVirtualMemory,NtResumeThread,NtSetContextThread,NtSetInformationFile,NtSetValueKey,NtSuspendThread,NtTerminateProcess,NtUnmapViewOfSection,NtWriteFile,NtWriteVirtualMemory,OleInitialize,OpenSCManagerA,OpenSCManagerW,OpenServiceA,OpenServiceW,OutputDebugStringA,PRF,Process32FirstW,Process32NextW,ReadProcessMemory,recv,RegCloseKey,RegCreateKeyExA,RegCreateKeyExW,RegDeleteKeyA,RegDeleteKeyW,RegDeleteValueA,RegDeleteValueW,RegEnumKeyExA,RegEnumKeyExW,RegEnumKeyW,RegEnumValueA,RegEnumValueW,RegOpenKeyExA,RegOpenKeyExW,RegQueryInfoKeyA,RegQueryInfoKeyW,RegQueryValueExA,RegQueryValueExW,RegSetValueExA,RegSetValueExW,RemoveDirectoryA,RemoveDirectoryW,SearchPathW,select,send,SendNotifyMessageW,SetEndOfFile,SetErrorMode,SetFileAttributesW,SetFileInformationByHandle,SetFilePointer,SetFilePointerEx,SetFileTime,setsockopt,SetStdHandle,SetUnhandledExceptionFilter,SetWindowsHookExW,ShellExecuteExW,SHGetFolderPathW,SHGetSpecialFolderLocation,shutdown,SizeofResource,socket,Thread32Next,timeGetTime,UuidCreate,WriteConsoleA,WriteConsoleW,WriteProcessMemory,WSARecv,WSASend,WSASocketW,WSAStartup,unique_domains_contacted,ransomware_signatures_detected,dropped_files_count,HKEY_LOCAL_MACHINE\SOFTWARE\MICROSOFT\Cryptography\,HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\MUI\Settings,HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\crypt32,HKEY_LOCAL_MACHINE\System\CurrentControlSet\Control\Nls\,HKEY_LOCAL_MACHINE\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\,HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\OLE,HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Run,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Run,HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer\,HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Internet Settings\,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Internet Settings\,HKEY_LOCAL_MACHINE\SOFTWARE\MICROSOFT\Cryptography\.1,HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\services\crypt32\,HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\services\Tcpip\Parameters\,HKEY_LOCAL_MACHINE\Software\Microsoft\Rpc\,HKEY_CURRENT_USER\Software\Microsoft\RestartManager,HKEY_LOCAL_MACHINE\SYSTEM\Setup\OOBEInProgress,HKEY_LOCAL_MACHINE\SYSTEM\Setup\SystemSetupInProgress,Label
0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,448,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,29,11,0,5,0,7,0,0,0,0,0,15,35,2,0,0,1,0,0,0,0,0,26,0,2,0,3,0,1,11,59,1,0,2,0,0,0,0,0,1,59,0,13,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,13,56,0,0,3,0,28,2,0,0,7,20,3,9,2,0,12,0,3,2,4,340,0,0,0,118,15,1,0,842,0,22,6,0,74,2,0,0,0,1,48,0,6,0,24,0,1,0,23,22,47,82,0,0,82,0,15,0,0,5,5,93,0,0,8,6,0,2,9,23,966,49,0,33,27,0,0,0,1,0,0,1,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,338,956,170,82,54,0,180,0,32,0,0,0,374,1046,321,0,4,51,0,3,0,228,23,0,52,193,0,66,0,234,180,8,2,7,15,1,60,7,136,0,47,10,1,243,385,0,6,0,1,5,0,0,54,328,0,0,0,2,0,2,0,0,0,0,2,0,498,0,9,0,0,0,4,107,80,0,0,107,260,466,0,56,138,368,0,4,0,1,0,0,0,0,3,22,0,0,186,0,13,0,0,3,0,0,24,0,0,12,0,0,0,5,0,0,0,0,0,0,3,1,0,5,148,0,50,14,53,0,0,0,26,54,0,148,54,18,0,0,0,3,0
0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,397,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,29,11,0,5,0,7,0,0,0,0,0,15,35,2,0,0,1,0,0,0,0,0,26,0,2,0,3,0,1,11,61,1,0,2,0,0,0,0,0,1,61,0,13,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,13,56,0,568,3,4,226,2,0,0,7,214,19,19,3,0,20,0,3,2,4,340,0,0,0,119,22,23,0,866,39,30,6,0,136,92,0,0,0,4,48,0,6,0,24,1,8,59,30,20,58,314,0,52,377,24,18,2,2,5,5,164,9,2795,8,6,0,2,14,24,12612,546,0,35,28,44,0,3,3,0,0,12,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,377,1092,196,217,201,0,467,231,40,0,0,4,436,7310,690,16,196,176,0,40,3,229,95,10,220,314,0,214,0,482,338,5891,4,246,15,2,60,133,288,0,218,9099,12,3106,463,6,6,0,46,62,0,8,184,351,0,0,0,3,0,3,0,0,0,0,2,0,796,0,11,0,0,0,4,107,80,143,0,111,260,783,0,56,138,665,0,5,0,4,38,0,0,10,4,106,6,0,206,41,13,0,0,4,0,0,117,0,0,64,0,0,10,13,0,2,0,0,0,0,3,1,0,10,192,0,50,22,59,0,0,0,33,54,0,192,54,28,0,0,0,5,0
0,0,0,0,19,0,0,129,0,0,0,0,137,3,14,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,194,29,44,0,6,18,2,0,4,0,5,0,0,0,0,0,0,1,585,2,1,6,7,1,34,3,29,0,0,0,0,0,265,258,12568,0,0,0,0,4,1,29479,230,0,4,1,0,0,0,0,4,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,189,43,18,26,0,2,0,0,0,0,1,189,754,167,1,1,15,0,619,1,0,15,0,2,100,0,31,0,83,68,224,2,38,15,0,24,71,169,7,90,275,1,494,285,0,0,0,17,13,0,0,24,61,0,2,0,0,0,0,0,0,0,0,0,0,699,8,1,0,0,0,0,0,1,122,0,2,7,866,0,1,2,2582,8,0,0,0,2,0,0,4,0,102,0,0,14,1,7,0,0,0,0,0,31,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,7045,0,7,0,42,0,0,0,0,0,0,0,3,3,0
0,0,0,0,0,0,0,1,0,0,0,0,0,1,43,1,0,1,0,2,0,0,192208,0,0,0,0,0,0,0,63,0,15,1,1,6,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,4,0,0,352,0,0,0,0,0,0,1,0,0,0,0,0,5,3,1,122,2,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,67,216,36,7,6,38,10,0,0,0,0,0,1621,937,379,0,7,356,2,0,0,0,9,0,0,1388,0,359,26,73,18,0,1,0,3,0,30,24,21,0,41,0,1,12,74,0,2,0,28,0,0,6,355,44,0,0,0,1,0,1,0,0,0,0,0,0,25,0,0,0,0,0,0,0,26,0,0,0,8,32,0,0,8,14,2,0,4,0,0,0,0,0,28,38,0,0,90,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0
0,0,0,0,36,0,0,24,0,0,0,0,30,3,17,4,0,3,0,0,0,0,0,0,0,0,0,0,1,1,255,36,7,10,0,58,8,0,0,0,2,2,3,0,0,0,0,1,216,0,0,0,55,0,0,7,0,4,0,0,1,1,82,18,1055,5,0,0,14,7,7,3603,43,1,19,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,79,1209,172,61,66,96,80,2,0,0,0,0,479,838,50,8,9,16,1,124,3,13,21,5,53,204,0,28,0,169,122,217,2,23,4,2,11,11,7,0,163,326,1,228,506,0,1,0,1,12,0,9,24,184,0,3,2,2,2,2,0,0,0,0,10,0,144,7,9,0,1,0,0,0,27,2,0,0,18,179,0,0,39,199,16,3,0,0,4,0,0,4,33,83,0,0,84,0,32,0,0,2,0,0,2,0,0,6,0,0,0,4,0,0,0,0,0,0,0,1,0,30,0,3,3,15,292,2,0,0,21,53,0,0,3,14,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,17,4,1,0,0,0,0,0,0,0,0,0,14,3,0,1,2,0,0,0,0,0,0,0,0,0,2,0,2,3,3,0,0,0,0,1,0,0,0,0,2,1,3,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,12,0,1,0,9,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
